Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
2022.63,1.22,0.95,1.41,0.67
2022.71,1.15,0.89,1.24,0.65
2022.79,1.28,0.96,1.45,0.61
2022.88,0.94,0.73,0.85,0.61
2022.96,1.05,0.80,0.91,0.61
2023.04,1.16,0.87,1.28,0.58
2023.13,1.26,0.96,1.55,0.61
2023.21,1.46,1.22,2.07,0.70
2023.29,1.26,0.99,1.20,0.81
2023.38,1.13,0.94,1.13,0.80
2023.46,1.34,1.08,1.43,0.86
2023.54,1.45,1.19,1.63,0.94
2023.63,1.40,1.19,1.66,1.00
2023.71,1.86,1.48,2.30,0.98
2023.79,1.55,1.34,1.99,0.97
2023.88,1.64,1.42,2.16,0.97
2023.96,1.60,1.35,1.93,0.96
2024.04,1.49,1.24,1.71,0.96
2024.13,1.76,1.43,2.11,0.95
2024.21,1.63,1.40,2.22,0.94
2024.29,1.53,1.32,1.92,0.96
2024.38,1.35,1.16,1.54,0.93
2024.46,1.41,1.25,1.88,0.93
2024.54,1.47,1.21,1.77,0.92
